self_play/promotion_threshold,self_play/opponent_generation,self_play/promotions,time/iterations,self_play/switched_opponent,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,eval/hellburner_deterministic_games,eval/self_play_sampled_reward,eval/hellburner_sampled_winrate,eval/hellburner_sampled_reward,eval/self_play_deterministic_score_diff,eval/hellburner_deterministic_score_diff,eval/hellburner_sampled_score_diff,eval/self_play_deterministic_winrate,eval/self_play_deterministic_promoted,eval/self_play_deterministic_games,eval/self_play_sampled_score_diff,eval/hellburner_deterministic_winrate,eval/self_play_sampled_winrate,eval/self_play_deterministic_reward,eval/self_play_sampled_games,eval/hellburner_sampled_games,eval/hellburner_deterministic_reward
,,,24,,45056,1729,383.125,-0.519690875,7,0.009877495467662811,0.00048828125,344,0.0006522685,3e-05,0.04704571177717298,-50.41759979724884,0.9351690411567688,-0.0018307291466044262,0.2,,,,,,,,,,,,,,,,,
,,,25,,45568,1790,385.8181818181818,-0.5764935757575758,7,0.005491109099239111,0.00048828125,348,0.00057352346,3e-05,0.016923165327170864,-13.005755841732025,0.9055047035217285,-0.0018674048915272579,0.2,,,,,,,,,,,,,,,,,
,,,26,,46080,1841,385.94117647058823,-0.6273796470588234,7,0.0006929049268364906,0.00048828125,352,0.0007297604,3e-05,0.0200276289251633,-10.925262749195099,0.8208162784576416,-0.0023006463452475145,0.2,,,,,,,,,,,,,,,,,
,,,27,,46592,1898,377.0833333333333,-0.709974111111111,7,0.004312477074563503,0.0,356,0.00039682724,3e-05,0.014237980649340898,-13.235504418611526,0.8474847674369812,-0.0011308872344670817,0.2,,,,,,,,,,,,,,,,,
,,,28,,47104,1964,374.94736842105266,-0.5700696842105263,7,0.02245122566819191,0.0,360,0.00021847594,3e-05,0.047032263420987874,-22.590371191501617,0.9608850479125977,-0.0009361716802231967,0.2,,,,,,,,,,,,,,,,,
,,,29,,47616,2028,373.97435897435895,-0.6169140512820511,7,0.008996487595140934,0.04052734375,364,0.006760647,3e-05,0.045301292499061674,-65.77229642868042,0.951394259929657,-0.003326278121676296,0.2,,,,,,,,,,,,,,,,,
,,,30,,48128,2105,376.95,-0.5610047,7,-0.0002817893400788307,0.0,368,0.00067812996,3e-05,0.026290242472896352,-24.218414068222046,0.9821527600288391,-0.0027856949891429394,0.2,,,,,,,,,,,,,,,,,
,,,31,,48640,2168,371.1666666666667,-0.5314378095238096,7,0.014647427015006542,0.0107421875,372,0.004016462,3e-05,0.03357197844889015,-72.76006627082825,0.8548882603645325,-0.0039336774934781715,0.2,,,,,,,,,,,,,,,,,
0.8,0,0,32,0.0,49152,2664,370.1860465116279,-0.5806541395348838,6,0.01238972507417202,0.0,376,9.213609e-05,3e-05,0.031074099824763834,-7.699153855443001,0.8489750027656555,-0.0006381588755175471,0.2,5,1.2434839999999987,0.0,-1.7262680000000004,-11106.6,-3691.0,-4555.6,0.0,0.0,5,10886.8,0.0,0.8,-1.9774696585405167,5,5,-1.66426
,,,33,,49664,2728,374.15555555555557,-0.6716850666666667,6,0.022596903145313263,0.0068359375,380,0.0024930937,3e-05,0.04214101406978443,-16.016553312540054,0.6804720163345337,-0.005483940272824839,0.2,,,,,,,,,,,,,,,,,
,,,34,,50176,2785,375.7608695652174,-0.7003580000000001,6,0.008460015058517456,0.0,384,0.00023841334,3e-05,0.03759304201230407,-11.43309873342514,0.8094056248664856,-0.001221890648594126,0.2,,,,,,,,,,,,,,,,,
,,,35,,50688,2847,372.1489361702128,-0.7284431489361702,6,0.015982214361429214,0.0,388,0.000105806976,3e-05,0.03419492920511402,-12.738260090351105,0.7082325220108032,-0.0006567399032064714,0.2,,,,,,,,,,,,,,,,,
,,,36,,51200,2921,374.7916666666667,-0.6896610833333333,6,0.019267013296484947,0.00244140625,392,0.0019514733,3e-05,0.0491110875736922,-33.881807804107666,0.9543570876121521,-0.003089769306825474,0.2,,,,,,,,,,,,,,,,,
,,,37,,51712,2992,376.76,-0.61579612,6,0.02107907272875309,0.0,396,0.00025129132,3e-05,0.031375985068734735,-55.50806725025177,0.9153163433074951,-0.000918628997169435,0.2,,,,,,,,,,,,,,,,,
,,,38,,52224,3055,376.37254901960785,-0.5656193333333333,6,0.008888356387615204,0.0,400,0.00047514949,3e-05,0.02208919418626465,-35.942976236343384,0.9097367525100708,-0.002246001997264102,0.2,,,,,,,,,,,,,,,,,
,,,39,,52736,3132,378.7307692307692,-0.5946285769230769,6,0.00774826854467392,0.0,404,0.0007309882,3e-05,0.024658868234837428,-48.900355100631714,0.974120557308197,-0.003729515563463792,0.2,,,,,,,,,,,,,,,,,
,,,40,,53248,3222,379.1111111111111,-0.5151684629629629,6,0.004666314460337162,0.00048828125,408,0.00054512045,3e-05,0.030620213598012924,-32.4846031665802,0.9702677130699158,-0.002178340291720815,0.2,,,,,,,,,,,,,,,,,
,,,41,,53760,3299,379.4909090909091,-0.4459312181818182,6,0.013222439214587212,0.00244140625,412,0.0012643816,3e-05,0.06390991911757737,-50.1437429189682,0.9300215840339661,-0.0024333830078830943,0.2,,,,,,,,,,,,,,,,,
,,,42,,54272,3372,378.0,-0.39008673214285716,6,0.01130267046391964,0.00439453125,416,0.001974826,3e-05,0.04276813240721822,-73.7094578742981,0.8874690532684326,-0.0028355531248962507,0.2,,,,,,,,,,,,,,,,,
,,,43,,54784,3444,378.5344827586207,-0.4082319137931035,6,0.031176507472991943,0.00146484375,420,0.0011705589,3e-05,0.055142358993180096,-63.8315669298172,0.9293843507766724,-0.001832511625252664,0.2,,,,,,,,,,,,,,,,,
,,,44,,55296,3510,377.50847457627117,-0.3764439152542373,6,0.009224283508956432,0.0,424,0.00034755783,3e-05,0.024357717426028103,-14.124853432178497,0.8827353119850159,-0.001337364039500244,0.2,,,,,,,,,,,,,,,,,
,,,45,,55808,3585,379.53333333333336,-0.3459669166666667,6,0.0060198623687028885,0.0,428,0.00029244157,3e-05,0.032754137995652854,-39.0811265707016,0.8389357328414917,-0.0010981997475028038,0.2,,,,,,,,,,,,,,,,,
,,,46,,56320,3658,380.1639344262295,-0.38716188524590167,6,-0.0020979754626750946,0.0,432,0.0013048467,3e-05,0.035198142926674336,-42.960338950157166,0.9794474840164185,-0.00291565312363673,0.2,,,,,,,,,,,,,,,,,
