self_play/switched_opponent,time/iterations,time/fps,rollout/ep_len_mean,self_play/opponent_generation,self_play/promotions,rollout/ep_rew_mean,self_play/promotion_threshold,time/total_timesteps,time/time_elapsed,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,eval/self_play_sampled_score_diff,eval/hellburner_deterministic_reward,eval/self_play_deterministic_games,eval/hellburner_deterministic_winrate,eval/hellburner_deterministic_score_diff,eval/self_play_sampled_games,eval/self_play_deterministic_winrate,eval/hellburner_sampled_reward,eval/self_play_deterministic_reward,eval/hellburner_deterministic_games,eval/self_play_sampled_reward,eval/hellburner_sampled_games,eval/hellburner_sampled_winrate,eval/hellburner_sampled_score_diff,eval/self_play_sampled_winrate,eval/self_play_deterministic_promoted,eval/self_play_deterministic_score_diff
0.0,1,3,283.93055555555554,0,0,0.4513814444444445,0.8,20992,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,283.36486486486484,,,0.42757271621621623,,21504,319,0.2,-57.34390878677368,0.003,0.033177964,0.01002518367022276,0.0046185655519366264,0.9663822650909424,0.27099609375,320,0.017420658317860216,,,,,,,,,,,,,,,,,
,3,2,282.92105263157896,,,0.4314726578947368,,22016,560,0.2,-5.577981740236282,0.003,0.0018910068,0.007869067107094452,-0.003502265550196171,0.7673127055168152,0.01953125,324,-0.0009118513553403318,,,,,,,,,,,,,,,,,
,4,2,281.53246753246754,,,0.4178073636363636,,22528,715,0.2,-43.19187545776367,0.003,0.04242094,0.02239363396074623,0.09227576851844788,0.9551928043365479,0.166015625,328,0.0021454630768857896,,,,,,,,,,,,,,,,,
,5,3,282.7307692307692,,,0.43210032051282043,,23040,825,0.2,-47.76582479476929,0.003,0.014744409,0.010845877754036337,0.012119462713599205,0.9781455397605896,0.1376953125,332,0.0025615451741032302,,,,,,,,,,,,,,,,,
,6,3,285.6875,,,0.44266325,,23552,1000,0.2,-18.22439992427826,0.003,0.18436846,0.011153601168189198,-0.014842567965388298,0.923319935798645,0.14208984375,336,-0.008815640350803733,,,,,,,,,,,,,,,,,
,7,3,286.0731707317073,,,0.471586256097561,,24064,1102,0.2,-60.820072174072266,0.003,0.03778627,0.006505294906673953,0.0014065748546272516,0.9678454399108887,0.39599609375,340,0.021318305691238493,,,,,,,,,,,,,,,,,
0.0,8,1,286.25,0,0,0.45218817857142857,0.8,24576,2633,0.2,-49.99051094055176,0.003,0.056305107,0.005272117239655927,-0.025273626670241356,0.9779638648033142,0.40283203125,344,0.007353925844654441,3479.3,-0.6504475813571572,10,0.0,-6728.0,10,0.1,-0.6656947547366043,-0.1073111674626713,10,0.7469722429257393,10,0.0,-6373.1,0.6,0.0,-7629.1
,9,1,286.08235294117645,,,0.4664937176470588,,25088,2728,0.2,-12.424890041351318,0.003,0.014085248,0.005121473630424589,-0.002324296161532402,0.9403203129768372,0.1181640625,348,-0.004780318820849061,,,,,,,,,,,,,,,,,
,10,1,287.4942528735632,,,0.4725870689655173,,25600,2817,0.2,-42.74592614173889,0.003,0.19371574,0.00857136698323302,0.050801973789930344,0.9775403738021851,0.560546875,352,0.04690578259760514,,,,,,,,,,,,,,,,,
