self_play/switched_opponent,time/iterations,time/fps,rollout/ep_len_mean,self_play/opponent_generation,self_play/promotions,rollout/ep_rew_mean,self_play/promotion_threshold,time/total_timesteps,time/time_elapsed,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,eval/self_play_sampled_score_diff,eval/hellburner_deterministic_reward,eval/self_play_deterministic_games,eval/hellburner_deterministic_winrate,eval/hellburner_deterministic_score_diff,eval/self_play_sampled_games,eval/self_play_deterministic_winrate,eval/hellburner_sampled_reward,eval/self_play_deterministic_reward,eval/hellburner_deterministic_games,eval/self_play_sampled_reward,eval/hellburner_sampled_games,eval/hellburner_sampled_winrate,eval/hellburner_sampled_score_diff,eval/self_play_sampled_winrate,eval/self_play_deterministic_promoted,eval/self_play_deterministic_score_diff
,11,1,286.8636363636364,,,0.4869091363636364,,26112,2901,0.2,-44.721102714538574,0.003,1.5677235,0.013488604105077684,0.05112401023507118,0.9784374237060547,0.4873046875,356,0.029121181374648586,,,,,,,,,,,,,,,,,
,12,2,288.9555555555556,,,0.49743057777777777,,26624,2999,0.2,-44.00378394126892,0.003,0.07042001,0.009219268307788298,0.014646046794950962,0.9842993021011353,0.3916015625,360,0.04335510800592601,,,,,,,,,,,,,,,,,
,13,2,288.3369565217391,,,0.5233575326086956,,27136,3082,0.2,-50.88623261451721,0.003,0.8952406,0.012417359568644315,-0.016405513510107994,0.9608592391014099,0.33203125,364,0.004668576817493886,,,,,,,,,,,,,,,,,
,14,2,288.43617021276594,,,0.5469382340425532,,27648,3152,0.2,-60.7491250038147,0.003,0.121669255,0.008818279035040177,0.005874871276319027,0.9666658639907837,0.392578125,368,0.015480012691114098,,,,,,,,,,,,,,,,,
,15,2,290.4315789473684,,,0.5423727368421052,,28160,3213,0.2,-73.15622234344482,0.003,0.11043065,0.012936483282828704,-0.021124286577105522,0.9079911708831787,0.5205078125,372,0.02276368290768005,,,,,,,,,,,,,,,,,
0.0,16,1,290.09375,0,0,0.5318818020833335,0.8,28672,4117,0.2,-19.198400735855103,0.003,0.016541038,0.011045912455301732,-0.024008765816688538,0.7872248888015747,0.17578125,376,-0.003976727253757417,-1548.6,-0.6885840031734022,10,0.0,-5982.6,10,0.4,-0.6875896087098958,0.5730542950717044,10,0.7060324359292018,10,0.0,-6002.1,0.5,0.0,-3395.1
,17,2,292.6734693877551,,,0.5191841938775511,,29184,4184,0.2,-13.442910254001617,0.003,0.012155368,0.0030502993759000674,-0.0056206523440778255,0.9223515391349792,0.09619140625,380,-0.002276652754517272,,,,,,,,,,,,,,,,,
,18,2,289.48,,,0.51952474,,29696,4247,0.2,-5.926449090242386,0.003,0.0051935767,0.002235381572972983,-0.002168125007301569,0.9503901600837708,0.03173828125,384,-0.0036403699195943773,,,,,,,,,,,,,,,,,
,19,2,292.76,,,0.54531184,,30208,4331,0.2,-38.78169393539429,0.003,0.011539348,0.016460208455100656,-0.003407946787774563,0.9030929803848267,0.11279296875,388,-0.0028983764932490885,,,,,,,,,,,,,,,,,
,20,2,294.19,,,0.5279161800000002,,30720,4414,0.2,-26.380104541778564,0.003,0.00678876,0.005895609385333955,-0.0009409212507307529,0.9852878451347351,0.0703125,392,-0.004357019672170281,,,,,,,,,,,,,,,,,
,21,2,294.64,,,0.5081749900000001,,31232,4502,0.2,-6.099239826202393,0.003,0.003950317,0.013009324058657512,0.002805830677971244,0.7592668533325195,0.017578125,396,-0.0009863989253062755,,,,,,,,,,,,,,,,,
,22,2,295.52,,,0.5100486200000001,,31744,4592,0.2,-7.664038747549057,0.003,0.0037785913,0.008014631050173193,-0.004049509763717651,0.9117793440818787,0.0263671875,400,-0.0029603437578771263,,,,,,,,,,,,,,,,,
,23,2,297.3,,,0.51302517,,32256,4656,0.2,-10.364386677742004,0.003,0.002745784,0.00307336980040418,0.0030324398539960384,0.9085109233856201,0.01953125,404,-0.0022155771439429373,,,,,,,,,,,,,,,,,
